molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
363,0,0,0,0,0,3,1,0,261.087,4.492,453.574,255.347,50.867,0,147.359,760.123,1,8.5,0.0265414,0.0187401,0.8880552,22.34,6.962,13.488,10.383,0.856,-1.987,-1.368,-3.343,3262.298,0.314,10000,-2.169,9.69,0.129,1,-0.948,3,94.844,0,0,40.599,4,0,6,0,6,4,14,0,18.214
364,11,0,0,0,0,0,1,0,72.063,5.358,211.367,132.642,78.725,0,0,294.974,0,4,0.0973225,0,1.0138761,5.651,2.265,4.438,4.703,-1.273,1.872,1.382,-1.307,1775.63,0.053,920.175,-2.97,11.242,-0.76,0,-1.596,3,77.647,0,0,46.164,2,0,4,4,0,2,5,0,5742.752
365,0,0,0,0,0,5,0,-2,267.244,2.207,456.968,92.199,255.518,109.251,0,774.698,5,10.8,0.0062862,0.0528473,0.8926904,22.682,9.224,20.797,20.158,-1.706,-1.682,-1.506,-3.789,37.396,-1.876,14.182,-5.364,8.551,0.171,5,-0.866,2,45.106,0,0,137.924,9,0,14,0,14,4,19,0,0.024
366,0,0,0,0,0,5,0,-2,267.244,5.067,470.186,105.028,262.414,102.744,0,788.951,5,10.8,0.0325364,0.0513617,0.8782043,23.191,9.272,21.323,20.192,-1.734,-1.784,-1.506,-3.993,32.168,-2.006,12.052,-5.514,8.496,0.109,5,-0.889,2,43.77,0,0,139.358,9,0,14,0,14,4,19,0,0.013
367,1,0,0,0,0,5,0,-2,244.207,7.397,430.678,97.106,302.321,31.25,0,719.291,5,11.8,0.0760709,0.0612653,0.9014654,19.72,8.512,21.373,20.867,-2.596,-1.502,-0.807,-3.275,13.458,-2.218,4.699,-6.501,9.569,0.785,5,-0.929,2,31.95,0,0,155.767,9,0,11,0,11,4,17,1,0.002
368,0,0,0,0,0,4,0,-2,228.207,6.772,411.931,123.855,261.892,26.184,0,687.099,4,10.1,0.0667411,0.0490374,0.9141559,19.025,7.743,18.478,17.594,-1.971,-1.379,-0.983,-3.046,32.537,-1.767,12.201,-5.87,9.379,0.565,4,-0.871,2,42.475,0,0,134.173,8,0,11,0,11,4,16,0,0.013
369,1,0,0,0,0,5,0,-2,244.207,9.881,439.117,99.596,288.916,50.605,0,725.412,5,12.3,0.1345997,0.0626339,0.8891484,20.15,8.521,22.532,21.421,-2.624,-1.537,-0.628,-3.567,18.035,-2.174,6.448,-6.186,9.751,0.286,5,-0.985,2,34.064,0,0,157.553,9,0,10,0,10,4,17,1,0.005
370,1,0,0,0,0,1,0,-1,167.188,7.915,331.485,0,175.088,81.255,75.142,506.207,4,5,0.1237555,0.0301673,0.9266581,14.238,6.256,14.972,12.85,-0.072,-1.753,-1.487,-3.106,216.541,-0.672,244.217,-4.364,8.365,1.235,0,-0.723,3,68.325,0,0,89.515,5,0,9,0,9,0,11,0,0.254
371,1,0,0,0,0,0,0,-1,152.173,6.808,317.444,0,118.61,123.562,75.273,479.652,2,4.5,0.0966303,0.0200475,0.9335022,14.222,5.484,11.251,9.518,-0.319,-2.128,-1.371,-3.197,743.235,-0.159,927.676,-3.27,8.646,1.64,1,-0.693,3,76.464,0,0,64.242,4,0,9,0,9,0,10,0,3.212
372,0,0,0,0,0,4,2,-2,303.68,2.594,458.025,96.131,198.496,67.581,95.816,804.641,4,9.1,0.0083639,0.0397359,0.9134353,24.125,9.008,19.176,16.604,-0.253,-2.264,-2.528,-3.255,129.885,-1.029,182.429,-4.556,8.622,0.324,3,-0.666,3,63.292,30.384,0,113.749,8,0,14,0,14,4,20,0,0.046
373,0,0,0,0,0,5,1,-2,285.234,7.263,480.901,104.936,258.678,67.359,49.928,806.528,5,10.8,0.0654133,0.0502173,0.8713427,23.556,8.806,22.059,19.97,-1.496,-2.091,-1.748,-3.935,34.903,-1.887,24.709,-5.57,8.75,0.361,4,-0.888,2,45.803,49.928,0,139.19,9,0,14,0,14,4,20,0,0.006
374,0,0,0,2,0,8,2,-2,365.214,7.003,492.208,98.766,295.093,74.117,24.232,889.408,6,14.1,0.0551446,0.0701691,0.9086921,25.011,10.584,25.749,24.335,-1.288,-1.57,-1.953,0.252,1.011,-2.242,0.629,-5.929,8.634,0.262,3,-1.298,1,0,21.084,0,182.318,12,2,14,0,14,4,24,1,0.012
375,0,0,1,0,0,4,0,-2,268.272,11.67,507.385,219.715,250.52,37.15,0,852.914,4,10.3,0.1596834,0.0406003,0.8572301,25.766,9.022,22.066,18.018,-1.312,-2.24,-1.263,-4.019,41.708,-1.95,15.958,-7.684,8.253,-0.464,4,-0.809,2,48.26,0,0,130.86,8,0,15,0,10,6,19,0,0
376,0,0,0,0,0,8,0,-2,253.26,7.358,488.855,142.987,282.307,63.561,0,809.33,5,8.9,0.066894,0.0407094,0.8591487,21.706,9.227,20.135,17.573,-1.442,-1.63,-1.761,-4.114,20.835,-2.468,7.536,-5.73,8.568,0.104,2,-0.911,2,42.103,0,0,140.498,8,0,9,0,9,0,18,1,0.012
377,0,0,0,0,0,6,0,-2,225.207,9.447,448.139,134.887,244.428,68.824,0,717.583,4,8.9,0.1243781,0.0397198,0.8649687,19.368,7.853,18.542,16.23,-1.555,-2.308,-1.382,-4.045,47.642,-1.976,18.425,-5.206,8.517,0.08,2,-0.951,2,47.874,0,0,128.759,8,0,9,0,9,0,16,0,0.051
378,0,0,0,0,0,5,0,-2,286.336,2.456,550.932,258.718,153.986,138.227,0,940.071,4,6.2,0.0064176,0.0225073,0.8423797,29.577,9.862,18.709,13.895,1.304,-3.24,-2.967,-4.742,343.28,-1.185,155.755,-3.39,7.975,-0.244,4,-0.287,3,79.962,0,0,95.71,7,0,17,3,14,6,21,0,0.067
379,0,0,0,0,0,4,2,-2,303.68,2.594,458.025,96.131,198.496,67.581,95.816,804.641,4,9.1,0.0083639,0.0397359,0.9134353,24.125,9.008,19.176,16.604,-0.253,-2.264,-2.528,-3.255,129.885,-1.029,182.429,-4.556,8.622,0.324,3,-0.666,3,63.292,30.384,0,113.749,8,0,14,0,14,4,20,0,0.046
380,0,0,0,2,0,8,2,-2,365.214,7.003,492.208,98.766,295.093,74.117,24.232,889.408,6,14.1,0.0551451,0.0701691,0.9086922,25.011,10.584,25.749,24.335,-1.288,-1.57,-1.953,0.252,1.011,-2.242,0.629,-5.929,8.634,0.262,3,-1.298,1,0,21.084,0,182.318,12,2,14,0,14,4,24,1,0.012
381,0,0,0,0,0,4,1,-2,285.689,7.6,481.833,141.198,201.783,62.813,76.04,809.096,4,9.1,0.0713962,0.0377724,0.8715017,24.257,9.033,19.889,16.645,-0.415,-2.433,-2.238,-3.911,120.891,-1.262,131.546,-4.633,8.465,0.145,3,-0.738,3,61.787,0,0,117.607,8,0,14,0,14,4,19,0,0.025
382,0,0,0,0,0,8,0,-2,255.233,9.992,459.539,124.538,279.628,55.373,0,770.625,5,10.6,0.1295586,0.0515785,0.8845826,20.078,8.917,21.377,19.103,-1.87,-1.37,-1.365,-3.664,22.09,-2.301,8.028,-5.71,8.587,0.138,3,-1.007,2,40.054,0,0,149.181,9,0,9,0,9,0,18,1,0.03
383,1,1,0,0,0,6,0,1,343.895,4.015,644.851,293.645,0,279.535,71.671,1163.121,0,2.75,0.0138617,0,0.8294476,39.211,11.496,14.307,4.583,5.746,-5.113,-5.113,-6.351,2470.586,-0.477,3592.657,-2.021,9.194,-0.003,3,1.004,3,100,0,0,10.783,2,1,17,0,17,4,24,0,0.025
384,1,0,0,1,1,3,1,-2,300.289,4.491,466.941,145.264,245.113,75.903,0.663,817.344,1,10.5,0.0246751,0.0224868,0.9053971,25.355,8.52,16.014,17.283,-1.503,0.463,-0.747,-0.243,5.501,-1.609,5.27,-5.482,10.399,1.265,1,-1.637,2,31.395,0,42.042,146.34,9,0,12,4,8,5,20,1,2.877
385,1,1,0,0,2,5,1,-1,583.686,6.664,895.265,417.309,123.637,354.318,0,1711.042,2.25,10.75,0.0259515,0.0180114,0.7727769,62.495,18.124,30.567,21.176,3.128,-4.954,-5.562,-4.876,73.887,-0.72,78.617,-4.133,8.204,0.029,7,0.219,2,65.745,0,44.193,133.89,10,1,34,0,34,13,43,1,0
386,0,1,0,0,2,5,1,0,581.67,7.498,801.599,372.441,111.313,317.845,0,1633.739,2.25,10.75,0.0344134,0.020116,0.8368796,59.053,16.688,29.656,20.174,2.76,-3.589,-5.652,-3.665,107.975,-0.399,105.157,-4.034,8.312,0.542,7,0.086,2,66.537,0,38.178,126.539,10,1,34,0,34,11,43,1,0.014
387,2,0,0,0,0,5,0,-2,241.249,11.414,452.22,156.218,271.979,24.023,0,747.62,7,8.9,0.174264,0.0520702,0.8809185,20.785,8.836,24.226,20.737,-1.805,-1.706,-1.491,-3.573,26.105,-2.074,9.616,-5.967,7.454,-0.319,4,-0.84,2,28.772,0,0,145.713,8,1,10,0,10,2,17,0,0.005
388,0,1,0,0,0,6,0,-1,183.207,2.188,397.625,105.745,185.266,106.614,0,643.196,5,4.2,0.0074409,0.0236189,0.9062604,16.752,7.475,14.798,12.798,-0.659,0.29,-0.555,-4.283,43.244,-0.903,18.358,-6.045,8.691,-0.171,5,-0.793,2,52.368,0,0,89.418,4,0,6,0,6,0,13,0,0.322
389,0,1,0,0,0,9,0,-2,287.358,2.969,581.317,144.677,153.321,283.318,0,1002.868,4,4.7,0.0087895,0.0161702,0.8335175,30.908,11.474,18.48,12.591,1.66,-2.098,-2.645,-6.303,86.867,-1.052,39.017,-4.546,8.934,-0.096,5,-0.148,3,71.367,0,0,76.713,4,0,12,0,12,0,21,0,0.065
390,0,1,0,0,0,5,0,-1,167.207,2.781,386.557,105.781,138.196,142.58,0,621.882,4,3.45,0.0124349,0.0178499,0.9115007,16.885,6.993,12.921,10.713,-0.625,0.12,-0.523,-4.37,120.862,-0.448,55.756,-5.147,9.031,-0.196,5,-0.677,2,60.552,0,0,67.774,3,0,6,0,6,0,12,0,1.571
391,0,1,0,0,0,4,0,1,165.235,1.637,406.184,165.223,58.747,182.214,0,658.112,2,3.2,0.004074,0.0111415,0.900828,19.355,6.543,10.312,7.534,1.216,-0.421,-0.669,-4.732,685.021,0.238,363.618,-3.639,9.042,-0.097,3,-0.384,3,84.821,0,0,34.37,2,0,6,0,6,0,12,0,7.953
392,0,2,0,0,0,12,2,-1,272.39,3.014,581.728,428.356,153.373,0,0,1030.842,4,8.4,0.0088119,0.0288795,0.8483456,27.395,9.786,18.746,13.648,-0.104,0.269,0.446,-5.438,21.641,-0.783,9.61,-7.319,9.182,-0.739,4,-0.633,2,50.232,0,0,105.258,6,0,0,0,0,0,19,1,0.024
393,0,1,0,2,1,8,0,-2,348.398,7.706,610.38,239.102,186.665,184.613,0,1110.239,3,8.5,0.053488,0.0241201,0.8495244,34.904,11.846,21.216,16.861,-0.738,-1.722,-1.659,-0.584,1.581,-1.245,1.476,-5.604,9.436,-0.148,5,-0.924,1,26.187,0,29,131.371,7,0,11,0,11,4,25,1,0.016
394,0,1,0,1,2,6,0,-2,558.516,8.726,864.672,310.542,266.268,171.285,116.578,1584.152,3.25,10.25,0.0480618,0.0213705,0.7600548,55.027,16.278,30.274,21.817,0.278,-5.492,-4.807,-2.401,0.791,-2.186,3.404,-7.31,9.077,1.299,4,-0.258,1,0.835,116.578,46.858,183.23,11,2,22,3,19,5,40,1,0
394,0,1,0,1,2,6,0,-2,558.516,11.377,844.213,314.276,269.272,163.86,96.805,1570.782,3.25,10.25,0.0823989,0.0218884,0.7740878,54.421,16.137,30.511,21.9,0.108,-4.995,-4.807,-2.139,0.711,-2.158,2.471,-7.391,9.064,1.261,4,-0.274,1,0,96.805,49.136,185.047,11,2,22,3,19,5,40,1,0
396,5,0,0,0,0,15,0,-2,777.09,6.988,747.853,301.349,301.421,23.676,121.407,1386.088,8,16,0.0352258,0.060513,0.8039134,39.912,16.089,34.627,27.941,-0.764,-2.935,-8.294,-4.818,13.725,-3.152,22.197,-5.551,9.029,1.731,5,-1.129,1,3.955,0,0,209.25,11,3,6,0,6,0,31,1,0.003
397,0,0,0,0,0,6,0,0,349.315,6.2,557.904,79.416,98.226,278.388,101.874,994.973,1,6.25,0.0386381,0.0112026,0.8639329,32.471,9.725,16.335,9.956,2.974,-3.702,-4.844,-5.061,1159.909,-0.425,2099.179,-1.773,9.998,1.4,4,-0.119,3,100,101.874,0,67.171,6,0,17,0,17,0,25,0,1.169
398,0,0,0,0,0,9,2,-2,347.367,5.124,655.257,314.725,161.041,179.49,0,1146.902,0,5.25,0.0228918,0,0.8086696,35.68,11.268,14.639,6.798,3.316,-4.42,-4.614,-5.484,294.272,-1.621,131.865,-2.991,8.652,0.912,2,0.161,3,90.549,0,0,99.361,7,0,10,0,10,0,25,0,0.013
399,0,1,0,0,0,5,2,1,521.652,2.225,769.118,443.347,102.048,223.723,0,1526.94,2,7.95,0.0032415,0.014618,0.8337842,53.88,15.015,25.275,13.443,4.463,-5.254,-5.934,-6.015,266.123,-0.318,130.861,-4.195,8.827,0.392,6,0.976,3,83.521,0,0,89.267,7,1,29,0,24,16,38,0,0
400,0,0,0,1,0,3,0,-1,230.263,3.274,470.61,180.392,93.506,196.712,0,787.919,1,2.75,0.0136053,0.0058435,0.8766471,25.331,7.814,11.028,6.337,3.18,-4.154,-3.374,-2.659,325.671,-0.428,187.137,-2.262,8.516,0.773,2,-0.05,3,90.539,0,0,56.91,3,0,10,0,10,0,17,0,0.514
401,1,1,0,0,0,3,0,1,135.208,1.79,366.049,132.728,44.682,188.64,0,582.274,2,1,0.0055003,0.0038634,0.9212485,17.024,5.879,8.338,5.44,1.759,-0.503,-0.636,-4.432,931.29,0.43,506.774,-3.453,9.298,-0.43,3,-0.289,3,90.387,0,0,24.539,1,0,6,0,6,0,10,0,14.882
402,0,2,0,0,1,10,0,0,263.382,5.141,595.327,267.744,139.647,187.935,0,1009.111,5,4.5,0.0261869,0.0169022,0.8172768,29.604,10.963,19.296,14.627,0.511,0.002,-0.109,-5.463,19.181,-0.636,13.287,-6.596,9.289,-0.161,6,-0.594,2,52.9,0,22.932,85.702,4,0,6,0,6,0,19,1,0.067
403,2,1,0,0,0,5,0,2,328.471,1.332,604.678,335.393,2.43,231.184,35.671,1081.47,0,3.25,0.0016404,0,0.8426558,36.124,10.163,13.14,4.874,4.702,-4.123,-4.332,-5.907,2342.904,0.725,2154.24,-2.332,7.605,0.331,7,0.676,3,100,0,0,15.701,3,0,14,0,14,0,23,1,0.122
404,3,2,0,0,0,3,0,-1,268.272,0.297,460.825,206.299,254.526,0,0,804.407,2,10,0.0001095,0.0306887,0.9077083,24.112,8.165,16.349,14.677,-2.381,0.949,0.623,-4.478,2.377,-0.88,0.883,-10.048,10.025,0.288,6,-0.887,1,19.734,0,0,153.751,8,0,12,0,12,4,19,1,0
405,0,1,0,1,1,6,1,-2,383.462,9.078,653.26,408.774,223.945,2.006,18.535,1183.309,2,9.7,0.0696487,0.0209991,0.8282177,37.369,11.387,21.487,16.053,-1.365,-2.442,-1.52,-1.865,2.827,-1.531,2.683,-7.126,8.726,0.888,3,-0.738,1,27.03,0,27.819,145.151,8,0,12,4,8,7,26,1,0
406,0,1,0,2,0,8,1,-2,475.515,7.057,756.04,271.885,321.488,146.086,16.581,1381.266,4,11.2,0.0360517,0.0296281,0.7933628,45.383,15.442,28.108,19.851,-0.394,-4.25,-3.646,-2.683,0.142,-2.885,0.076,-8.224,8.811,0.96,4,-0.484,1,9.451,0,0,199.478,10,0,18,4,14,7,33,1,0
407,1,1,0,1,0,9,1,-2,420.498,2.403,659.522,292.59,343.706,2.251,20.976,1193.371,5,9.7,0.0048401,0.0328872,0.8249971,35.847,13.026,24.925,18.559,-1.865,-2.987,-2.717,-3.293,0.344,-2.896,0.164,-9.045,8.959,1.071,2,-0.553,1,0,0,0,196.989,10,1,12,4,8,7,27,1,0
408,14,1,0,1,0,51,5,-2,1109.315,10.939,1466.915,709.099,512.083,245.733,0,3198.685,9.5,25.8,0.0374105,0.0542096,0.7157166,91.457,35.12,60.114,36.48,2.013,-3.252,-9.848,-6.223,0.009,-8.776,0.002,-7.258,8.431,0.755,17,-0.729,1,0,0,0,375.707,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,10.82,1484.622,754.072,495.855,234.696,0,3174.003,9.5,25.8,0.0368823,0.0535631,0.7035377,90.364,35.134,59.485,36.337,1.922,-3.523,-9.848,-6.367,0.012,-8.79,0.003,-6.997,8.401,1.287,17,-0.828,1,0,0,0,370.196,20,3,18,0,18,10,79,2,0
408,13,1,0,1,0,51,5,-2,1109.315,3.802,1293.608,682.652,407.888,203.068,0,2988.014,9.5,25.8,0.0048367,0.0614722,0.7755635,82.619,30.884,56.393,35.064,1.632,-0.694,-9.848,-5.051,0.085,-6.632,0.028,-5.488,8.166,0.752,17,-1.025,1,0,0,0,359.655,20,3,18,0,18,10,79,2,0.73
408,14,1,0,1,0,51,5,-2,1109.315,6.325,1164.274,599.463,392.694,172.117,0,2873.646,9.5,25.8,0.0139227,0.0683009,0.8395866,77.746,28.558,55.081,34.439,1.257,1.074,-9.848,-3.867,0.118,-5.826,0.04,-5.317,8.477,0.93,17,-1.061,1,0,0,0,364.827,20,3,18,0,18,10,79,2,63.484
408,14,1,0,1,0,51,5,-2,1109.315,7.853,1532.206,724.639,536.906,270.661,0,3238.06,9.5,25.8,0.019043,0.0518996,0.6908299,93.271,36.63,60.422,36.976,2.025,-4.259,-9.848,-6.744,0.005,-9.612,0.001,-7.627,8.453,0.889,17,-0.715,1,0,0,0,377.46,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,11.009,1408.867,711.4,443.219,254.248,0,3124.438,9.5,25.8,0.0387906,0.0564432,0.7336289,88.567,33.58,58.921,35.93,2.114,-2.376,-9.848,-5.973,0.039,-7.602,0.012,-5.958,8.27,0.66,17,-0.847,1,0,0,0,369.099,20,3,18,0,18,10,79,2,0.005
408,14,1,0,1,0,51,5,-2,1109.315,10.508,1434.908,730.609,441.837,262.462,0,3130.842,9.5,25.8,0.0352651,0.0554188,0.7212984,88.902,34.042,58.881,36.039,2.13,-2.767,-9.848,-6.212,0.04,-7.773,0.012,-5.904,8.474,0.802,17,-0.873,1,0,0,0,360.239,20,3,18,0,18,10,79,2,0.002
408,15,1,0,1,0,51,5,-2,1109.315,13.132,1388.238,688.228,496.699,203.311,0,3077.179,9.5,25.8,0.0560392,0.0572819,0.7370036,86.189,33.142,58.509,35.898,1.413,-2.068,-9.848,-5.676,0.012,-8.208,0.003,-7.124,8.336,0.661,17,-0.948,1,0,0,0,369.569,20,3,18,0,18,10,79,2,0.001
408,15,1,0,1,0,51,5,-2,1109.315,8.903,1515.306,781.33,473.575,260.401,0,3212.931,9.5,25.8,0.024671,0.0524785,0.6949162,92.167,35.764,59.812,36.434,2.313,-3.996,-9.848,-6.629,0.02,-8.65,0.006,-6.496,8.298,1.032,17,-0.762,1,0,0,0,360.657,20,3,18,0,18,10,79,2,0
408,16,1,0,1,0,51,5,-2,1109.315,14.304,1581,785.009,528.377,267.614,0,3290.445,9.5,25.8,0.0621782,0.0502979,0.6767106,95.338,37.505,61.561,37.014,2.351,-5.023,-9.848,-6.958,0.006,-9.804,0.002,-7.481,8.285,1.091,17,-0.632,1,0,0,0,376.785,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,6.714,1475.648,749.88,495.529,230.238,0,3139.606,9.5,25.8,0.0143575,0.0538888,0.7026932,88.945,34.855,58.641,36.283,1.71,-3.386,-9.848,-6.359,0.013,-8.802,0.003,-7.007,8.346,0.679,17,-0.914,1,0,0,0,364.015,20,3,18,0,18,10,79,2,0
408,13,1,0,1,0,51,5,-2,1109.315,11.794,1215.501,639.432,411.277,164.791,0,2922.963,9.5,25.8,0.0475855,0.0654224,0.8133774,79.65,29.413,56.141,34.639,1.314,0.391,-9.848,-4.256,0.079,-6.256,0.026,-5.685,8.389,1.018,17,-1.043,1,0,0,0,361.122,20,3,18,0,18,10,79,2,5.641
408,14,1,0,1,0,51,5,-2,1109.315,10.989,1204.716,628.368,416.964,159.383,0,2892.645,9.5,25.8,0.0417502,0.0660081,0.8149743,78.385,29.173,55.626,34.615,1.097,0.537,-9.848,-4.205,0.07,-6.297,0.022,-5.809,8.29,0.593,17,-1.105,1,0,0,0,355.104,20,3,18,0,18,10,79,2,5.934
408,15,1,0,1,0,51,5,-2,1109.315,11.737,1562.563,834.75,468.766,259.047,0,3269.458,9.5,25.8,0.0421345,0.0508913,0.6817805,94.416,36.657,60.7,36.506,2.643,-4.733,-9.848,-6.835,0.022,-8.835,0.007,-6.412,8.272,0.776,17,-0.667,1,0,0,0,365.169,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,3.217,1410.18,633.592,531.871,244.718,0,3137.635,9.5,25.8,0.0032983,0.0563906,0.7350078,89.004,34.199,59.035,36.471,1.573,-2.395,-9.848,-5.906,0.006,-8.675,0.001,-7.626,8.469,0.903,17,-0.811,1,0,0,0,377.038,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,16.904,1517.733,748.197,541.802,227.734,0,3198.998,9.5,25.8,0.0893243,0.0523945,0.6917975,91.298,36.014,60.637,36.682,1.707,-4.034,-9.848,-6.524,0.005,-9.659,0.001,-7.869,8.383,1.018,17,-0.807,1,0,0,0,371.484,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,10.895,1518.547,826.521,484.909,207.117,0,3187.043,9.5,25.8,0.0372476,0.0523665,0.6897032,90.622,35.446,59.341,36.157,1.998,-4.046,-9.848,-6.459,0.016,-8.908,0.004,-6.893,8.226,0.673,17,-0.842,1,0,0,0,369.891,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,10.601,1457.563,739.101,462.095,256.367,0,3147.856,9.5,25.8,0.0357007,0.0545575,0.7126578,89.524,34.544,59.12,36.19,2.055,-3.11,-9.848,-6.323,0.026,-8.177,0.008,-6.299,8.214,0.832,17,-0.861,1,0,0,0,363.961,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,12.05,1556.531,819.874,501.17,235.487,0,3244.12,9.5,25.8,0.0447562,0.0510886,0.6808821,93.177,36.549,60.4,36.552,2.234,-4.638,-9.848,-6.737,0.011,-9.319,0.003,-7.093,8.1,1.029,17,-0.732,1,0,0,0,375.94,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,8.028,1520.776,802.021,496.896,221.859,0,3235.014,9.5,25.8,0.0199234,0.0522897,0.6955858,92.683,35.809,60.001,36.344,2.242,-4.081,-9.848,-6.434,0.012,-8.958,0.003,-7.062,8.16,0.656,17,-0.707,1,0,0,0,366.686,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,2.244,1376.076,665.91,484.619,225.548,0,3085.989,9.5,25.8,0.0016322,0.0577882,0.7449358,86.754,33.063,58.016,35.937,1.603,-1.889,-9.848,-5.653,0.016,-7.934,0.005,-6.823,8.159,0.802,17,-0.901,1,0,0,0,360.487,20,3,18,0,18,10,79,2,0.002
408,14,1,0,1,0,51,5,-2,1109.315,13.601,1216,581.709,429.085,205.206,0,2921.109,9.5,25.8,0.0633316,0.0653955,0.8126995,79.961,29.822,56.614,35.036,1.225,0.384,-9.848,-4.46,0.053,-6.443,0.017,-5.871,7.99,0.524,18,-1.049,1,0,0,0,366.7,20,3,18,0,18,10,79,2,3.62
408,13,1,0,1,0,51,5,-2,1109.315,4.673,1283.81,613.053,492.382,178.375,0,3001.428,9.5,25.8,0.0072752,0.0619414,0.7838199,82.92,31.222,56.989,35.447,1.126,-0.555,-9.848,-4.799,0.013,-7.455,0.004,-7.132,8.339,0.21,17,-0.966,1,0,0,0,366.654,20,3,18,0,18,10,79,2,0.023
408,15,1,0,1,0,51,5,-2,1109.315,6.281,1463.907,776.385,482.816,204.706,0,3167.528,9.5,25.8,0.0124562,0.054321,0.7125223,89.818,34.484,58.934,35.995,1.969,-3.206,-9.848,-6.079,0.017,-8.452,0.005,-6.863,8.581,1.217,17,-0.814,1,0,0,0,363.316,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,12.7,1474.503,720.11,494.464,259.929,0,3176.525,9.5,25.8,0.0507789,0.0539307,0.7087409,90.706,35.149,59.885,36.475,1.994,-3.368,-9.848,-6.403,0.013,-8.674,0.004,-6.883,8.323,0.951,17,-0.805,1,0,0,0,372.644,20,3,18,0,18,10,79,2,0
408,15,1,0,1,0,51,5,-2,1109.315,17.491,1418.12,686.717,485.833,245.57,0,3114.811,9.5,25.8,0.098219,0.0560749,0.727344,88.099,33.928,59.703,36.183,1.73,-2.514,-9.848,-6.034,0.015,-8.234,0.004,-6.774,8.366,1.035,17,-0.891,1,0,0,0,369.787,20,3,18,0,18,10,79,2,0.001
408,15,1,0,1,0,51,5,-2,1109.315,11.922,1474.226,758.644,505.785,209.797,0,3162.029,9.5,25.8,0.0449528,0.0539408,0.7067159,89.647,34.828,59.379,36.21,1.763,-3.364,-9.848,-6.197,0.01,-8.863,0.003,-7.268,8.472,0.728,17,-0.847,1,0,0,0,367.378,20,3,18,0,18,10,79,2,0
408,14,1,0,1,0,51,5,-2,1109.315,11.108,1478.022,715.486,558.052,204.484,0,3153.111,9.5,25.8,0.0391296,0.0538023,0.7035748,89.239,35.192,59.369,36.539,1.331,-3.422,-9.848,-6.222,0.003,-9.627,0.001,-8.25,8.312,1.058,17,-0.879,1,0,0,0,377.81,20,3,18,0,18,10,79,2,0
408,16,1,0,1,0,51,5,-2,1109.315,13.696,1462.68,785.669,460.877,216.133,0,3158.084,9.5,25.8,0.0593959,0.0543666,0.7117022,89.549,34.363,59.379,35.92,2.075,-3.188,-9.848,-6.146,0.027,-8.178,0.008,-6.418,8.558,0.47,17,-0.84,1,0,0,0,365.055,20,3,18,0,18,10,79,2,0
408,16,1,0,1,0,51,5,-2,1109.315,17.282,1502.937,758.2,528.374,216.363,0,3181.392,9.5,25.8,0.093876,0.0529104,0.6960426,90.484,35.548,60.365,36.478,1.695,-3.805,-9.848,-6.401,0.006,-9.383,0.002,-7.661,8.443,1.36,17,-0.835,1,0,0,0,375.286,20,3,18,0,18,10,79,2,0
408,13,1,0,1,0,51,5,-2,1109.315,8.12,1257.478,649.856,441.309,166.313,0,2972.795,9.5,25.8,0.0221816,0.0632384,0.7951356,81.658,30.335,56.547,34.954,1.336,-0.186,-9.848,-4.559,0.041,-6.765,0.013,-6.233,8.449,0.895,17,-0.993,1,0,0,0,366.99,20,3,18,0,18,10,79,2,0.423
408,13,1,0,1,0,51,5,-2,1109.315,7.288,1263.064,691.919,390.354,180.791,0,2943.033,9.5,25.8,0.0180493,0.0629588,0.7863271,80.606,30.043,55.8,34.72,1.499,-0.264,-9.848,-4.77,0.124,-6.32,0.042,-5.243,8.189,0.893,17,-1.091,1,0,0,0,354.509,20,3,18,0,18,10,79,2,3.454
